ICD9CMCode,TotalDiag,dx0,dx1,dx2,dx3,dx4,dx5,dx6,dx7,dx8,dx9,dx10,dx11,dx12,dx13,dx14,dx15,dx16,dx17,dx18,dx19,dx20,dx21,dx22,dx23,dx24
001.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
001.9,4.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,
002.0,46.0,25.0,11.0,2.0,5.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
002.1,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
002.9,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
003.0,523.0,310.0,66.0,32.0,24.0,19.0,26.0,15.0,8.0,8.0,4.0,6.0,3.0,,,,,1.0,,1.0,,,,,,
003.1,149.0,128.0,11.0,3.0,2.0,2.0,,1.0,,,,,1.0,,,,,,1.0,,,,,,,
003.20,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
003.21,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
003.22,3.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
003.23,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
003.24,7.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
003.29,6.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
003.8,16.0,4.0,2.0,2.0,3.0,,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,
003.9,125.0,36.0,34.0,12.0,7.0,8.0,7.0,5.0,6.0,3.0,2.0,,,2.0,,,,,2.0,,,,1.0,,,
004.0,16.0,9.0,2.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
004.1,27.0,12.0,,2.0,,3.0,,1.0,5.0,,1.0,,,,,2.0,1.0,,,,,,,,,
004.2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
004.3,48.0,32.0,3.0,4.0,1.0,2.0,1.0,,1.0,,,1.0,,,1.0,,,,,,2.0,,,,,
004.8,53.0,27.0,1.0,4.0,5.0,4.0,2.0,2.0,2.0,,2.0,2.0,,,,1.0,,1.0,,,,,,,,
004.9,112.0,48.0,8.0,13.0,4.0,6.0,4.0,6.0,5.0,2.0,4.0,2.0,2.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,
005.0,5.0,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
005.1,9.0,4.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
005.3,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,
005.4,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
005.89,31.0,12.0,,6.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,,1.0,,,,,,,,,,,,,
005.9,579.0,251.0,70.0,57.0,45.0,26.0,33.0,21.0,17.0,14.0,7.0,10.0,2.0,7.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,,,1.0,
006.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
006.1,3.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,
006.2,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
006.3,24.0,9.0,13.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,
006.6,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,
006.8,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
006.9,12.0,3.0,1.0,1.0,,1.0,1.0,2.0,1.0,,1.0,,1.0,,,,,,,,,,,,,
007.0,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
007.1,84.0,24.0,18.0,4.0,6.0,5.0,5.0,9.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,,,,,,,,,,,
007.2,12.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
007.3,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
007.4,91.0,19.0,16.0,9.0,16.0,8.0,6.0,5.0,2.0,3.0,4.0,,1.0,,,,,1.0,,1.0,,,,,,
007.5,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
007.8,17.0,7.0,5.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,
008.00,73.0,29.0,9.0,12.0,6.0,1.0,5.0,4.0,2.0,1.0,,1.0,2.0,1.0,,,,,,,,,,,,
008.01,6.0,3.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
